,Names,prices,Ratings,Images
0,"Redmi Note 7 (Sapphire Blue, 64 GB)","₹10,499",4.5,https://rukminim2.flixcart.com/image/312/312/k3xcdjk0pkrrdj/mobile-refurbished/5/w/6/redmi-note-7s-32-a-mzb7745in-mi-3-original-imafe48ru3s66sjd.jpeg?q=70
1,"13 pro (Ceramic Black, 256 GB)","₹49,700",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/h/e/13-pro-2210132g-xiaomi-original-imahbdmygnxxa6yt.jpeg?q=70
2,"Redmi Note 5 Pro (Rose Gold, 64 GB)","₹14,999",4.5,https://rukminim2.flixcart.com/image/312/312/jdkjzww0/mobile/z/x/a/redmi-note-5-pro-mzb6086in-original-imaf2g8zp8ubadzb.jpeg?q=70
3,"Redmi Note 6 Pro (Red, 64 GB)","₹10,899",4.5,https://rukminim2.flixcart.com/image/312/312/jog2nbk0/mobile/d/j/d/mi-redmi-e7t-na-original-imafazxhztrw9gnr.jpeg?q=70
4,"Redmi Y2 (Black, 32 GB)","₹10,499",4.5,https://rukminim2.flixcart.com/image/312/312/jnnhua80/mobile/a/d/j/mi-redmi-y2-y2-original-imafaabg2b2kyrct.jpeg?q=70
5,"A2 (Red, 128 GB)","₹10,899",4.1,https://rukminim2.flixcart.com/image/312/312/jrgo4280/mobile/m/z/h/mi-a2-a2-original-imafd92uetypzxma.jpeg?q=70
6,"Redmi 7A (Matte Black, 16 GB)","₹6,250",4.3,https://rukminim2.flixcart.com/image/312/312/k65d18w0pkrrdj/mobile-refurbished/m/j/w/redmi-7a-32-d-mzb7800in-mi-2-original-imafg27hkgpkhsdy.jpeg?q=70
7,"Redmi Note 6 Pro (Black, 64 GB)","₹9,430",4.5,https://rukminim2.flixcart.com/image/312/312/jog2nbk0/mobile/e/x/b/mi-redmi-e7t-na-original-imafazxdh2bd6hep.jpeg?q=70
8,"Redmi Note 7 Pro (Red, 64 GB)","₹16,999",4.5,https://rukminim2.flixcart.com/image/312/312/k0lbdzk0pkrrdj/mobile/y/m/h/mi-redmi-note-7-pro-mzb7466in-original-imafhvrdxeueacku.jpeg?q=70
9,"Redmi Note 7S (Sapphire Blue, 32 GB)","₹8,299",4.4,https://rukminim2.flixcart.com/image/312/312/k3xcdjk0pkrrdj/mobile-refurbished/5/w/6/redmi-note-7s-32-a-mzb7745in-mi-3-original-imafe48ru3s66sjd.jpeg?q=70
